year,0
1906,1
1907,2
1908,1
1909,1
1910,2
1911,4
1912,3
1913,4
1914,4
1915,3
1916,2
1917,1
1919,4
1920,1
1921,6
1922,6
1923,9
1924,7
1925,9
1926,4
1927,6
1928,13
1929,11
1930,11
1931,17
1932,23
1933,20
1934,18
1935,20
1936,22
1937,23
1938,26
1939,22
1940,28
1941,36
1942,38
1943,30
1944,24
1945,24
1946,18
1947,20
1948,23
1949,20
1950,18
1951,22
1952,20
1953,20
1954,21
1955,23
1956,21
1957,17
1958,19
1959,24
1960,14
1961,19
1962,17
1963,14
1964,19
1965,17
1966,23
1967,27
1968,21
1969,22
1970,21
1971,31
1972,21
1973,26
1974,18
1975,26
1976,34
1977,36
1978,42
1979,34
1980,30
1981,33
1982,37
1983,37
1984,37
1985,36
1986,41
1987,47
1988,39
1989,45
1990,46
1991,42
1992,43
1993,34
1994,43
1995,38
1996,49
1997,37
1998,43
1999,38
2000,44
2001,53
2002,43
2003,58
2004,51
2005,54
2006,39
2007,38
2008,42
2009,53
2010,41
2011,57
2012,42
2013,56
2014,45
2015,51
2016,48
2017,49
2018,57
2019,49
2020,47
2021,49
2022,46
2023,46
2024,35
