index,count,cumsum
1185,1,0.0004084967320261438
522,1,0.0008169934640522876
475,1,0.0012254901960784314
449,1,0.0016339869281045752
434,1,0.002042483660130719
414,1,0.0024509803921568627
412,1,0.0028594771241830064
410,1,0.0032679738562091504
387,1,0.003676470588235294
374,1,0.004084967320261438
371,1,0.004493464052287581
364,1,0.004901960784313725
355,1,0.0053104575163398695
354,1,0.005718954248366013
337,1,0.006127450980392157
334,1,0.006535947712418301
331,1,0.006944444444444444
329,1,0.007352941176470588
316,1,0.007761437908496732
314,1,0.008169934640522876
308,1,0.00857843137254902
306,1,0.008986928104575163
304,1,0.009395424836601307
301,1,0.00980392156862745
300,1,0.010212418300653595
295,1,0.010620915032679739
285,1,0.011029411764705883
283,1,0.011437908496732025
282,1,0.01184640522875817
275,2,0.012663398692810458
270,1,0.013071895424836602
258,2,0.013888888888888888
250,1,0.014297385620915032
246,1,0.014705882352941176
244,1,0.01511437908496732
240,1,0.015522875816993464
238,1,0.015931372549019607
237,1,0.016339869281045753
229,1,0.016748366013071895
225,1,0.01715686274509804
224,1,0.017565359477124183
223,1,0.017973856209150325
222,1,0.01838235294117647
220,1,0.018790849673202614
219,2,0.0196078431372549
218,1,0.020016339869281044
216,1,0.02042483660130719
215,1,0.020833333333333332
207,1,0.021241830065359478
204,1,0.02165032679738562
203,1,0.022058823529411766
202,1,0.02246732026143791
200,2,0.023284313725490197
196,1,0.02369281045751634
195,2,0.024509803921568627
192,2,0.025326797385620915
190,1,0.025735294117647058
189,1,0.026143790849673203
186,1,0.026552287581699346
185,2,0.027369281045751634
183,1,0.027777777777777776
181,1,0.028186274509803922
179,1,0.028594771241830064
176,1,0.02900326797385621
174,1,0.029411764705882353
173,2,0.03022875816993464
171,2,0.03104575163398693
169,1,0.03145424836601307
168,1,0.031862745098039214
167,1,0.03227124183006536
165,2,0.03308823529411765
163,1,0.03349673202614379
162,1,0.03390522875816993
161,1,0.03431372549019608
158,3,0.03553921568627451
157,1,0.03594771241830065
156,1,0.0363562091503268
155,1,0.03676470588235294
154,1,0.037173202614379085
153,1,0.03758169934640523
151,4,0.0392156862745098
150,2,0.04003267973856209
149,1,0.04044117647058824
148,1,0.04084967320261438
146,2,0.041666666666666664
145,1,0.042075163398692814
144,1,0.042483660130718956
143,3,0.04370915032679738
