index,count
2,248
3,375
4,343
5,308
6,236
7,195
8,157
9,113
10,87
11,64
12,61
13,43
14,45
15,22
16,27
17,17
18,15
19,14
20,10
21,6
22,8
23,10
24,9
25,4
26,1
27,3
28,2
29,5
30,2
31,3
32,1
33,1
35,1
37,4
38,1
39,1
40,1
42,2
43,1
44,1
58,1
