index,count
1,16409
2,4260
3,2244
4,1372
5,1020
6,673
7,553
8,436
9,370
10,264
11,219
12,205
13,151
14,115
15,127
16,80
17,79
18,56
19,52
20,40
21,54
22,27
23,33
24,22
25,17
26,16
27,13
28,11
29,9
30,9
31,12
32,17
33,7
34,6
35,5
36,5
37,4
38,5
39,6
40,6
41,4
43,2
44,1
46,1
47,1
48,1
49,1
50,1
59,1
