nij,score,exists,genre_sim,label_sim,year_sim
1,0.5613988034135515,1,0.0,0,0.6931471805599453
1,0.5242503252726626,1,0.09209761898250368,0,0.0
2,0.12165351276294306,1,0.2040212775640755,0,0.0
1,-0.019493960282911615,1,0.2469412238601535,1,0.6931471805599453
1,0.26238527771084785,1,0.0,0,0.6931471805599453
2,0.1645419610407578,1,0.045285901871488066,0,1.0986122886681098
1,0.055497861145443514,1,0.2655045350024099,0,0.0
4,0.10026820071239069,1,0.13717003179347853,1,1.0986122886681098
2,0.18340356781306308,1,0.0765218103048696,0,1.0986122886681098
1,0.2929390349216076,1,7.123599305725037e-05,0,0.0
1,-0.04561554257749071,1,0.00694194508568069,0,1.3862943611198906
1,0.09236639490045098,1,0.03336211695475799,0,1.0986122886681098
1,0.041608808127179174,1,0.04449690622940006,0,0.0
1,0.027609087171473666,1,3.424354803793772e-05,0,0.0
1,0.11461539874051226,1,0.003777868941705398,0,0.0
4,0.2217732953721894,1,0.17997225253168536,0,0.6931471805599453
1,0.2013514437424324,1,0.0006102129569289794,1,0.6931471805599453
1,0.3606699190316943,1,0.4570735454181092,0,0.0
2,0.20718231095988268,1,0.13181568643808228,0,0.0
1,-0.020731968876773487,1,0.0103300476321454,0,1.0986122886681098
1,0.08040069109298113,1,0.20643091012808312,1,0.6931471805599453
2,0.004569940442650611,1,0.024682429895769076,1,0.6931471805599453
2,0.03992748246803104,1,0.03577596967685592,0,0.6931471805599453
2,-0.026098710912916233,1,0.007939066520450955,0,0.6931471805599453
1,-0.03218667739354003,1,1.6960007546140687e-06,0,1.3862943611198906
2,0.19994833384789423,1,0.36057194972379936,0,1.3862943611198906
2,0.006943044957546986,1,0.005465251269802018,0,0.0
2,-0.024604838589311662,1,0.0015046228388548855,0,0.6931471805599453
4,0.050083185870165324,1,0.009330643071495226,1,0.6931471805599453
1,-0.05001488391676475,1,0.004066426399185863,0,0.6931471805599453
1,-0.038079787300369185,1,0.009263613756096079,0,0.6931471805599453
1,0.1004825328133912,1,0.04065382071803103,0,0.6931471805599453
1,0.07191836214443699,1,0.014493367056727213,0,0.6931471805599453
1,0.1626726044786062,1,0.0016264390594100675,1,0.0
1,0.044772864190493575,1,0.0014020588353326202,0,0.6931471805599453
1,0.045869266222090005,1,0.00022314804213774408,0,0.0
1,-0.019194500766947366,1,1.9386665963239125e-05,1,0.6931471805599453
1,-0.01090269551088359,1,0.00626211126660059,0,0.6931471805599453
2,0.028395719219807034,1,0.041420831458662044,1,1.0986122886681098
6,0.17209709619437966,1,0.02719871176316524,0,1.3862943611198906
1,0.0063764537524268975,1,0.00016582589810931747,0,0.6931471805599453
1,0.07248932190752394,1,0.0,0,0.0
4,0.07755434385430826,1,0.005373579500916437,0,0.0
1,0.03518107900217708,1,0.0,0,0.0
2,0.02326001872925753,1,8.044108314075871e-05,0,1.6094379124341003
5,0.050402193326960505,1,0.00683965992154667,0,0.6931471805599453
3,0.025157935073431028,1,0.11706364184204054,0,1.0986122886681098
3,0.06492412217354745,1,0.018312391550614038,0,0.6931471805599453
2,0.05637704927198226,1,0.0050733154314621665,0,0.0
1,0.06492412217354745,1,0.0339728833922639,0,0.6931471805599453
3,0.1257205671931147,1,0.007949027089163563,0,0.0
2,0.1645419610407578,1,0.0007425166111955095,0,0.0
2,0.01132900996750867,1,0.001075797094871489,0,0.6931471805599453
1,0.21339475168781039,1,0.01130294754725647,0,0.6931471805599453
1,0.115657728645965,1,0.0,0,1.0986122886681098
2,-0.006390563178164436,1,0.060477657002734775,1,1.3862943611198906
3,0.010728425878493783,1,0.019896522578242926,1,0.0
1,-0.011589422091932386,1,0.008391855870597653,0,0.6931471805599453
1,-0.005175646039453958,1,3.0192237104986752e-05,0,1.0986122886681098
2,0.0256965664544677,1,0.0039403415882742765,0,1.0986122886681098
3,0.01592393534131496,1,0.006702491165036739,0,1.0986122886681098
1,-0.020944794623491334,1,0.0015765266993749139,0,0.0
1,0.02083100046161485,1,0.00014348526071861212,0,1.0986122886681098
1,0.0011214815450861686,1,3.153926240295757e-05,0,1.0986122886681098
2,0.27960275606515267,1,0.13798782691030487,0,0.0
3,0.19586065477583325,1,0.0003271136831514143,0,0.0
2,0.026073047639441394,1,0.014417743362535873,0,0.6931471805599453
3,0.17452937117490555,1,0.00014094307797229977,0,0.0
1,0.17885805224840104,1,0.09066110240319736,1,0.0
1,0.08718771933113385,1,0.03745805781740863,0,0.6931471805599453
6,0.15195285266328654,1,0.1454820964627248,0,0.6931471805599453
2,0.08577575640029432,1,0.15609451223357285,0,1.0986122886681098
2,0.22003830324394452,1,0.007122048081814603,0,0.0
2,0.07023506860574699,1,0.3165121703360094,0,0.6931471805599453
4,0.19994833384789423,1,0.12186037010232076,0,0.6931471805599453
1,0.1724405553267147,1,0.08845690579878907,0,0.0
1,0.061940543220344355,1,1.793639983782569e-05,0,0.0
1,0.10675013473380011,1,0.002772338244290684,0,0.0
3,0.19067483964509538,1,0.07338258101324857,0,0.6931471805599453
1,0.1400227668372819,1,0.014619174366878318,0,0.0
2,0.12165351276294306,1,6.387350027181604e-05,0,0.0
2,0.08612606582681423,1,0.007437721369849104,0,0.0
1,0.05463152227121401,1,0.45552505713072833,0,0.0
1,0.09084760774299226,1,0.028124967124147138,0,0.0
1,0.09010024480511149,1,0.012503216109182369,0,0.0
1,0.11778528236899964,1,0.0037994950591452303,0,0.0
1,0.11887119940136678,1,0.0,0,0.0
1,0.10490499534906597,1,0.0,0,0.0
2,0.30031560869589374,1,0.9262960553234358,0,1.0986122886681098
4,0.13353803478367313,1,0.0724925449306314,1,1.0986122886681098
1,0.09962892985176962,1,0.3059781577548999,1,1.0986122886681098
2,0.11409944972690082,1,0.3759651907260858,0,1.3862943611198906
4,0.10026820071239069,1,0.04374358339597295,0,0.6931471805599453
1,0.1167142430101616,1,0.05873642665371437,0,1.3862943611198906
11,0.09174114381840134,1,0.0018406022678421063,1,1.6094379124341003
1,-0.0009251422083920453,1,0.08950645817917668,0,1.0986122886681098
3,0.1967537290047509,1,0.8129808020157351,1,0.0
1,0.08936071134136438,1,0.6244533032559051,0,1.0986122886681098
2,0.03413309650282752,1,0.04218119238318652,0,0.0
1,0.14900660576225713,1,0.8059551569053022,0,0.0
1,0.22353995627440026,1,0.12262380435432851,0,0.6931471805599453
3,0.030190252523172836,1,0.0064894418533449905,0,1.3862943611198906
1,0.08508040890882154,1,0.0037345318976328423,0,1.0986122886681098
3,-0.007416931372409337,1,0.018355107157418282,0,1.791759469228055
1,-0.03218667739354003,1,0.09838573631952297,1,1.3862943611198906
1,-0.027204920193783167,1,0.013529705613055887,0,0.6931471805599453
1,-0.04766443222385074,1,0.0012810851744270435,0,1.3862943611198906
2,0.003885146469584565,1,0.0030062307232374685,0,1.3862943611198906
2,-0.02844825765644534,1,0.0008904301706552653,0,1.3862943611198906
1,-0.0006587342816309823,1,0.006707132841315744,0,0.0
4,0.03217069253707175,1,0.0028132390160539034,0,1.6094379124341003
2,0.11358692435168882,1,4.372709875477554e-05,0,1.0986122886681098
1,0.07191836214443699,1,0.007118443921406148,0,0.6931471805599453
4,0.14291218779391335,1,0.0018038688918706747,0,1.3862943611198906
1,0.06341440232114424,1,0.010985969510651006,0,1.0986122886681098
1,-0.011394721235429596,1,0.0010113239969911092,0,1.0986122886681098
2,0.10266081777103157,1,0.00026499386875167286,0,0.0
2,0.018524086404636413,1,0.002863593235037376,0,1.0986122886681098
1,0.12222193794693297,1,0.0840493133484419,1,1.3862943611198906
1,0.052936180374595285,1,0.0062265639182286225,0,1.0986122886681098
1,-0.01090269551088359,1,0.0023213224159394086,0,1.0986122886681098
1,-0.012166438786651709,1,0.011144297915747448,0,0.6931471805599453
1,0.020606190252466457,1,0.008862363289219855,0,0.6931471805599453
2,0.05335544075044758,1,0.00015021335593901064,0,0.6931471805599453
1,0.07248932190752394,1,0.0,0,1.3862943611198906
2,0.025323021829768325,1,0.0014601069038657766,0,1.3862943611198906
