index,count,cumsum
133,1,0.00011155734047300312
84,1,0.00022311468094600624
72,1,0.00033467202141900936
71,1,0.0004462293618920125
65,1,0.0005577867023650157
61,1,0.0006693440428380187
60,1,0.0007809013833110219
59,1,0.000892458723784025
58,2,0.0011155734047300313
57,1,0.0012271307452030344
55,1,0.0013386880856760374
51,1,0.0014502454261490407
50,3,0.00178491744756805
49,2,0.002008032128514056
48,1,0.0021195894689870595
47,3,0.0024542614904060687
46,2,0.002677376171352075
45,1,0.002788933511825078
44,1,0.0029004908522980814
43,2,0.0031236055332440876
42,3,0.0034582775546630968
41,2,0.003681392235609103
40,2,0.0039045069165551094
38,1,0.004016064257028112
37,3,0.004350736278447122
36,3,0.004685408299866131
35,6,0.00535475234270415
34,3,0.005689424364123159
33,4,0.006135653726015172
32,3,0.006470325747434181
31,6,0.0071396697902722
30,8,0.008032128514056224
29,5,0.00858991521642124
28,6,0.009259259259259259
27,6,0.009928603302097277
26,8,0.010821062025881303
25,8,0.011713520749665328
24,11,0.012940651494868362
23,14,0.014502454261490405
22,11,0.01572958500669344
21,17,0.017626059794734493
20,21,0.01996876394466756
19,20,0.02219991075412762
18,22,0.02465417224453369
17,20,0.02688531905399375
16,29,0.030120481927710843
15,38,0.03435966086568496
14,27,0.03737170905845605
13,36,0.041387773315484155
12,53,0.04730031236055333
11,60,0.053993752788933515
10,61,0.060798750557786704
9,77,0.06938866577420794
8,89,0.07931726907630522
7,132,0.09404283801874164
6,178,0.1139000446229362
5,195,0.1356537260151718
4,354,0.1751450245426149
3,609,0.2430834448906738
2,1287,0.3866577420794288
1,5498,1.0
