index,count
1,16
2,45
3,49
4,57
5,33
6,23
7,33
8,29
9,22
10,13
11,9
12,9
13,14
14,5
15,8
16,7
17,5
18,6
19,9
20,7
22,3
24,2
25,2
26,1
27,2
28,1
33,2
35,1
39,1
60,1
