index,count,cumsum
478,1,0.0024096385542168677
382,1,0.004819277108433735
371,1,0.007228915662650603
346,2,0.012048192771084338
341,1,0.014457831325301205
335,1,0.016867469879518072
326,1,0.01927710843373494
312,1,0.021686746987951807
289,1,0.024096385542168676
266,1,0.02650602409638554
265,1,0.02891566265060241
241,1,0.03132530120481928
240,1,0.033734939759036145
234,1,0.03614457831325301
232,1,0.03855421686746988
230,1,0.04096385542168675
222,1,0.043373493975903614
221,1,0.04578313253012048
214,1,0.04819277108433735
213,2,0.05301204819277108
200,1,0.05542168674698795
196,1,0.05783132530120482
191,1,0.060240963855421686
189,1,0.06265060240963856
188,1,0.06506024096385542
184,1,0.06746987951807229
182,1,0.06987951807228916
176,2,0.0746987951807229
174,1,0.07710843373493977
173,2,0.0819277108433735
168,1,0.08433734939759036
167,1,0.08674698795180723
166,1,0.0891566265060241
165,1,0.09156626506024096
152,1,0.09397590361445783
147,1,0.0963855421686747
146,1,0.09879518072289156
141,2,0.10361445783132531
136,1,0.10602409638554217
132,1,0.10843373493975904
126,1,0.1108433734939759
124,1,0.11325301204819277
123,2,0.1180722891566265
122,1,0.12048192771084337
121,3,0.12771084337349398
119,2,0.13253012048192772
118,3,0.13975903614457832
115,2,0.14457831325301204
111,3,0.15180722891566265
108,1,0.15421686746987953
105,2,0.15903614457831325
104,3,0.16626506024096385
103,2,0.1710843373493976
102,1,0.17349397590361446
101,1,0.17590361445783131
99,3,0.18313253012048192
97,2,0.18795180722891566
96,1,0.19036144578313252
95,2,0.19518072289156627
94,1,0.19759036144578312
93,3,0.20481927710843373
92,1,0.20722891566265061
91,1,0.20963855421686747
90,1,0.21204819277108433
89,2,0.21686746987951808
88,1,0.21927710843373494
86,1,0.2216867469879518
85,1,0.22409638554216868
84,3,0.23132530120481928
83,1,0.23373493975903614
82,1,0.236144578313253
81,2,0.24096385542168675
80,2,0.2457831325301205
79,1,0.24819277108433735
78,3,0.25542168674698795
77,2,0.26024096385542167
76,1,0.26265060240963856
75,3,0.26987951807228916
74,2,0.2746987951807229
73,1,0.27710843373493976
72,2,0.2819277108433735
71,1,0.28433734939759037
70,2,0.2891566265060241
69,2,0.29397590361445786
68,1,0.2963855421686747
67,4,0.3060240963855422
66,2,0.3108433734939759
64,4,0.3204819277108434
63,3,0.327710843373494
62,4,0.3373493975903614
61,3,0.344578313253012
60,4,0.3542168674698795
59,3,0.3614457831325301
58,2,0.36626506024096384
57,3,0.37349397590361444
56,4,0.38313253012048193
55,1,0.3855421686746988
54,4,0.39518072289156625
53,3,0.40240963855421685
52,3,0.40963855421686746
51,6,0.42409638554216866
50,2,0.42891566265060244
49,5,0.44096385542168676
48,1,0.4433734939759036
47,1,0.4457831325301205
46,4,0.45542168674698796
45,5,0.4674698795180723
44,3,0.4746987951807229
43,1,0.4771084337349398
42,5,0.4891566265060241
41,7,0.5060240963855421
40,6,0.5204819277108433
39,5,0.5325301204819277
38,6,0.5469879518072289
37,2,0.5518072289156627
36,5,0.563855421686747
35,4,0.5734939759036145
34,5,0.5855421686746988
33,2,0.5903614457831325
32,2,0.5951807228915663
31,2,0.6
30,3,0.6072289156626506
29,4,0.6168674698795181
28,3,0.6240963855421687
27,7,0.6409638554216868
26,7,0.6578313253012048
25,7,0.6746987951807228
24,3,0.6819277108433734
23,10,0.7060240963855422
22,5,0.7180722891566265
21,8,0.7373493975903614
20,7,0.7542168674698795
19,6,0.7686746987951807
18,5,0.7807228915662651
17,4,0.7903614457831325
16,5,0.8024096385542169
15,7,0.8192771084337349
14,5,0.8313253012048193
13,3,0.8385542168674699
12,4,0.8481927710843373
11,4,0.8578313253012049
10,12,0.8867469879518072
9,6,0.9012048192771084
8,9,0.9228915662650602
7,8,0.9421686746987952
6,11,0.9686746987951808
5,6,0.983132530120482
4,4,0.9927710843373494
3,2,0.9975903614457832
2,1,1.0
