src	trg	nij	score
100081	1048657	1	0.999999698584454
100081	1079930	1	0.9999692903199674
100081	1195278	1	0.9999967331583196
100081	119629	2	0.9999999947922285
100081	1199983	1	0.9999915707784558
100081	1266421	3	0.999999999968392
100081	184288	1	0.9999977950439416
100081	1991371	1	0.9999998956817272
100081	2019964	1	0.999993827575407
100081	2040072	1	0.9999924801978758
100081	2239257	1	0.9999997329940148
100081	2763317	2	0.9999999995271156
100081	401936	1	0.9987745076293228
100081	4631623	1	0.999999765319624
100081	490217	1	0.9999025658574896
100081	700097	1	0.99999949528404
100081	94685	1	0.9999999906093536
100317	1018682	1	0.991098691963232
100317	1020377	1	0.9965132881289848
100317	1020545	1	0.988688344654892
100317	1022419	1	0.9944609247825802
100317	1024262	1	0.9989771769359572
100317	1031926	1	0.9982000285082238
100317	1036618	1	0.9986023141975048
100317	1054252	1	0.9742900979725336
100317	1079953	1	0.996929178798961
100317	1106271	1	0.9834361991744908
100317	1120631	1	0.998551502117045
100317	1160014	3	0.9989033527226794
100317	1186994	1	0.9649658411529334
100317	1194864	1	0.9236045018789446
100317	1214437	1	0.9999901529926634
100317	1237993	1	0.9911586115186632
100317	125377	1	0.9971454950696694
100317	1283662	1	0.9539526715628877
100317	1290056	1	0.9948412386838632
100317	1299408	1	0.9967432238731088
100317	1305215	3	0.9999992422762156
100317	1345469	1	0.9826388311469268
100317	1432200	1	0.9412084583560724
100317	1446975	1	0.9927067699629736
100317	146664	1	0.9840624479442888
100317	146775	3	0.999999571446015
100317	1546415	1	0.9998261221828206
100317	1563967	3	0.9998173674755174
100317	157482	1	0.998055130168338
100317	15900	10	0.9999999999981792
100317	1736801	1	0.9855077317939088
100317	1747674	1	0.9942168914750856
100317	175008	2	0.9986108634355548
100317	17540	1	0.9982564820849856
100317	1780675	1	0.9940181758406176
100317	199024	5	0.9998472256805714
100317	2036156	1	0.9934035572898128
100317	206096	1	0.9939176594975634
100317	207470	3	0.9865298579524724
100317	2149873	1	0.9882843790045066
100317	2219240	1	0.9894125448914832
100317	237325	1	0.9537137782106908
100317	243675	1	0.9800660450908372
100317	248628	3	0.9999027343026854
100317	250149	2	0.9961742283683952
100317	250902	1	0.8134042260970051
100317	261016	5	0.9999999963481052
100317	2710162	2	0.9999907466094003
100317	281526	1	0.9919782220171948
100317	281971	1	0.9966673996531756
100317	281975	1	0.9624592309958228
100317	285619	1	0.9999465997618366
100317	297663	1	0.57558663376188
100317	299967	1	0.7366728148984869
100317	302018	3	0.995448398466452
100317	309900	1	0.9985770173664676
100317	309903	2	0.999971492774361
100317	310137	3	0.9973292955421864
100317	311510	1	0.8344445696220052
100317	311963	2	0.9997841165212876
100317	314292	1	0.999416140894306
100317	314527	3	0.9999999642734204
100317	315550	2	0.9973684893498193
100317	316759	1	0.9995109791185358
100317	319960	2	0.9721062779169796
100317	319968	3	0.9967195760069544
100317	319969	1	0.99436389438246
100317	319970	1	0.961683073792298
100317	319972	3	0.7091417831831749
100317	319977	1	0.9968182248011084
100317	319978	1	0.7873558358180253
100317	320915	1	0.9993827062805294
100317	3350653	1	0.9984998172501984
100317	338616	2	0.9983202169399684
100317	339934	1	0.6674580903847749
100317	341452	1	0.9361848055153812
100317	361057	4	0.8892289410361354
100317	361418	1	0.9997673377414203
100317	36217	1	0.9124077093336768
100317	368085	2	0.9999699880929984
100317	368885	3	0.999991633312736
100317	370781	2	0.9925677486464264
100317	371804	2	0.7320826935562341
100317	372878	1	0.987597203851132
100317	376570	1	0.7869964297074887
100317	379964	1	0.9890201685794918
100317	380858	1	0.7826791896033342
100317	380859	2	0.9991469237097949
100317	380929	3	0.9963303544841736
100317	399868	1	0.8625926574619064
100317	410333	2	0.8545509636148577
100317	445608	2	0.72122257398599
100317	490245	1	0.9665639000229428
100317	490247	1	0.938184760479768
100317	492341	1	0.9970742200429656
100317	503075	3	0.9888966028646918
100317	503124	2	0.9891609692772496
100317	527548	4	0.9999999830964869
100317	531283	3	0.999999996733065
100317	531383	1	0.9866062853913458
100317	543841	1	0.9285310793040232
100317	5520913	1	0.9968924007361128
100317	556869	2	0.8318299162171056
100317	600513	2	0.9999984294793772
100317	608605	1	0.9855821427965148
100317	61848	1	0.948717160706408
100317	618714	1	0.998933411281142
100317	630531	1	0.951664809492722
100317	636433	1	0.9511779659823512
100317	638411	6	0.999906444785958
100317	642612	1	0.992262163604014
100317	644664	1	0.9998350990383466
100317	647570	1	0.9577117494100668
100317	658162	1	0.9979048760238208
100317	65897	1	0.8989082793217588
100317	660740	5	0.998184472708266
100317	665030	1	0.9342987044538116
100317	683182	2	0.9992743037463554
100317	691614	1	0.9636664494862252
100317	739929	1	0.9603383456710316
100317	780943	1	0.980912463363904
100317	786609	1	0.9975225775224148
100317	808776	1	0.8785892931785272
100317	821003	1	0.9984206573524068
100317	841458	1	0.9975555988396796
100317	851817	2	0.9913399166359966
100317	859844	2	0.9430656781651404
100317	8722	4	0.9999978736533548
100317	887079	1	0.9626798618137816
100317	891993	3	0.9996372367152984
100317	920358	1	0.8947056315232662
100317	928234	1	0.9899891346175236
100317	942209	1	0.9725575954518524
100317	967476	2	0.9815689742441636
100317	968447	1	0.9972855453694836
100317	973182	3	0.999998064797218
100317	9762	1	0.997653397412707
100358	1131687	1	0.925166147060116
100358	1241686	3	0.9999999126122884
100358	1258970	4	0.9995330821653589
100358	130185	4	0.9997520873134028
100358	136886	2	0.9948833451004776
100358	145643	1	0.975803258765998
100358	176226	1	0.9989535727206916
100358	17967	6	0.999999999999752
100358	1818287	1	0.9999445260880188
100358	19797	1	0.9994212151112688
100358	207470	5	0.9999923269888504
100358	22720	1	0.9178819503680536
100358	230620	6	0.9999997015898218
100358	232595	1	0.9787226326819928
100358	232885	2	0.999733815858549
100358	237325	1	0.9871778695877186
100358	297663	2	0.9633164983852778
100358	297664	2	0.9889548147528134
100358	314177	1	0.9947919024475596
100358	318300	5	0.99999941195862
100358	319968	1	0.9637927083711778
100358	351837	1	0.9942168914750856
100358	361057	1	0.6440175737991267
100358	36231	1	0.9912920427214992
100358	364768	1	0.9635756103820128
100358	371804	1	0.7749266530287042
100358	371805	4	0.9999992899555984
100358	371806	8	0.9999999999902894
100358	371808	1	0.9686952202208494
100358	380856	2	0.9913455694819976
100358	401936	2	0.9972921525771672
100358	410333	7	0.9999995419301636
100358	42360	2	0.9999989698744788
100358	445608	1	0.7675482134258254
100358	47010	2	0.9999996552085146
100358	490242	3	0.9998154000084812
100358	490245	1	0.9909036957126814
100358	503123	1	0.8299445229925974
100358	50570	1	0.9986018703301182
100358	552466	2	0.9999999856091918
100358	556869	1	0.8440743979411705
100358	593166	1	0.9347324043890036
100358	61848	6	0.9999999989836328
100358	618714	1	0.9997315253030792
100358	65897	2	0.997414237115852
100358	6706	1	0.9965043631480794
100358	679569	1	0.9962075817673912
100358	712046	1	0.8446724173798525
100358	7289	1	0.9999158619201278
100358	859844	1	0.9303128034052126
100358	98684	4	0.9999999519114796
10075066	1014217	3	0.9935526322417488
10075066	1034116	1	0.9960597582312588
10075066	1049601	2	0.9755521144670444
10075066	1054252	2	0.9974132903272064
10075066	112758	2	0.999941752439432
10075066	1186994	1	0.9595021705303364
10075066	1247423	1	0.9999679532903804
10075066	130112	6	0.9999999999995084
10075066	130185	2	0.8840217787088741
10075066	1333580	22	1.0
10075066	1341032	1	0.9986451557818184
10075066	1435331	3	0.9999864383100744
10075066	1513056	1	0.9988270632704253
10075066	152754	15	0.9999999999999968
10075066	1555525	1	0.9583874218450034
10075066	1565257	1	0.9999539020668358
10075066	1602494	3	0.9999952685410506
10075066	1611980	3	0.9995400437157084
10075066	175008	1	0.9769609507069876
10075066	1773230	1	0.7814304477450028
10075066	184085	5	0.9999665574908458
10075066	199024	2	0.9471142164276078
10075066	2010153	1	0.998590862982535
10075066	206096	2	0.9997093105032594
10075066	207470	1	0.7447404563449997
10075066	2078946	3	0.9999656137951252
10075066	253491	1	0.9562506854927476
10075066	2726494	1	0.96921896298304
10075066	281226	3	0.9999924506185124
10075066	281975	1	0.9566306818779384
10075066	297663	2	0.7914578787153128
10075066	302019	1	0.8344736276898956
10075066	311510	1	0.8128070925487515
10075066	315550	1	0.9651323997188336
10075066	31759	8	0.9999999993106772
10075066	318300	1	0.8710322715993412
