src	trg	nij	score	sdev_cij
401	326376	1	0.9937515020427782	
401	1707752	1	0.9912391239123912	
3341	27520	1	0.906359510541736	
3341	56489	1	0.928937846046532	
3341	117914	4	0.8648851797995125	
3341	157189	1	0.961461165622414	
3341	157594	2	0.8458628841607565	
3341	247991	2	0.8354616793998686	
3341	387851	6	0.7884329070433289	
3341	740448	2	0.9198426358495204	
3341	760455	3	0.8292770320553458	
3341	1012519	6	0.7462467631278326	
3341	1392712	2	0.8627522523786803	
3341	1707752	4	0.8354616793998686	
3341	2499232	3	0.8210953792119416	
4015	16228	2	0.9335178441369264	
4015	74273	3	0.8306477935666573	
4015	914234	1	0.928937846046532	
4015	1297439	7	0.854872485901083	
4483	16712	1	0.9743860536375673	
4483	316074	1	0.9552779660018266	
4483	1599156	1	0.9942307692307693	
13538	38862	3	0.8646188424798652	
13538	365625	2	0.8836217600771976	
16228	33894	1	0.9159353348729792	
16228	38417	1	0.9586825640420258	
16228	38862	1	0.9159353348729792	
16228	40110	1	0.987422890339582	
16228	74273	4	0.9764439613454636	
16228	94019	3	0.982989064398542	
16228	99571	1	0.9782997496124956	
16228	220035	2	0.8315487360635831	
16228	365625	2	0.975414471530196	
16228	2499232	1	0.903625516291877	
16228	4435599	2	0.9522296740793036	
16712	38417	5	0.917097547589474	
16712	38885	6	0.7737273583708049	
16712	40110	1	0.8781712959687575	
16712	94019	5	0.8997730050637331	
16712	99571	3	0.927751904960158	
16712	365625	3	0.8432398154019913	
16712	740448	2	0.8630398472918158	
16712	2499232	7	0.8619683537201211	
27520	40716	1	0.9494771472212432	
27520	109366	1	0.9483325504931892	
27520	157594	1	0.9598393574297188	
27520	287559	1	0.9454769302925484	
27520	396475	1	0.9313234780584332	
27520	1297439	1	0.8740611057773762	
27520	2791034	1	0.9330110094949612	
27520	3320772	1	0.9540690142503828	
27520	4869766	1	0.9714828897338404	
32147	99571	1	0.9984342065642878	
32147	489715	1	0.9791256635056956	
33894	38862	2	0.8493089612126616	
33894	74273	2	0.8373290515475333	
33894	76720	5	0.9292574591288576	
33894	121163	3	0.8142586382854643	
33894	365625	2	0.9116308543118844	
38417	38885	4	0.9354772858173972	
38417	40110	1	0.9776513006942996	
38417	40716	1	0.8783041829399444	
38417	94019	4	0.9772830531576556	
38417	96207	1	0.9572384912560088	
38417	99571	5	0.9921954733745572	
38417	121163	2	0.8624908794971096	
38417	132551	1	0.947189297030865	
38417	328477	2	0.8710232158211522	
38417	365625	2	0.9565172530695872	
38417	472460	2	0.8348147021826576	
38417	489715	3	0.8384148030507286	
38417	740448	1	0.95004995004995	
38417	2499232	3	0.9414930961853498	
38862	74273	3	0.8885305611412528	
38862	365625	3	0.9402065874098616	
38862	760455	3	0.8875995449374289	
38862	3519131	1	0.9721859027695232	
38862	7418168	2	0.8751200768491835	
38862	12736460	2	0.8573827381618717	
38885	40110	1	0.9230691218869072	
38885	94019	7	0.9545746182471448	
38885	99571	3	0.9548172366056964	
38885	365625	2	0.854126652651576	
38885	1533658	1	0.9429993412866868	
38885	2499232	4	0.8518373838555763	
39343	247991	1	0.8859099498458435	
39343	262995	3	0.9234871319267332	
39343	468181	9	0.9897400365094804	
39343	537044	2	0.9594053998199076	
39343	865894	2	0.9625922256886432	
39343	1392712	1	0.9052649710053396	
39343	1525304	2	0.992569296935398	
39343	1598223	1	0.980306737482843	
39343	1859909	2	0.8734659600143965	
39343	1883733	1	0.9327295494918314	
39343	3372262	3	0.9535896857246584	
40110	94019	1	0.972801450589302	
40110	99571	1	0.9883160070703136	
40110	365625	1	0.9736814714585224	
40110	435659	2	0.9486900925633668	
40110	489732	1	0.8995391968860013	
40110	1018058	1	0.9003550566945367	
40110	1032769	1	0.8954703832752613	
40110	2499232	1	0.947189297030865	
40716	56316	1	0.9014439605775842	
40716	89814	3	0.8314981924552253	
40716	96207	1	0.9275652754784932	
40716	200321	1	0.9203703703703704	
40716	203906	2	0.8446315906501014	
40716	247991	2	0.90967816191175	
40716	262995	4	0.9108603017390304	
40716	396477	2	0.83041217921315	
40716	435659	5	0.8861082534287452	
40716	527548	9	0.9908276450511946	
40716	1599156	2	0.9203703703703704	
40716	1736469	1	0.8828869723104857	
40716	2499232	2	0.8557208365954592	
40716	2791034	2	0.8613156086548035	
56316	200321	1	0.9621570482497634	
56316	257293	2	0.9880182123172776	
56316	257976	1	0.9080036798528058	
56316	464765	4	0.98950807877934	
56316	468883	2	0.8392639396962642	
56316	537021	1	0.9003550566945367	
56316	537044	1	0.9414930961853498	
56316	1736469	1	0.943767572633552	
56316	2499232	2	0.9302000930665426	
56316	3320772	1	0.9102003223578172	
56489	89814	2	0.9529908556547072	
56489	217355	1	0.945904739565772	
56489	262995	1	0.9369600747139856	
56489	308262	1	0.9302000930665426	
56489	316075	2	0.955580437713166	
56489	489732	1	0.8995391968860013	
56489	537021	2	0.980528345804642	
56489	2644206	1	0.928937846046532	
59765	539935	9	0.8984585068175317	
59765	606202	4	0.9087513436366448	
59765	640070	3	0.9926440784831788	
59765	689274	5	0.977227091538512	
59765	689281	1	0.9111079115974372	
59765	692592	5	0.8897763350844973	
59765	743091	4	0.9450706856822568	
59765	1448416	3	0.9138082673702728	
59765	1825984	2	0.9064005802388458	
59765	1912200	1	0.9274253270797334	
59765	2088309	3	0.9084151654134256	
59765	2126791	2	0.9111079115974372	
59765	2127584	2	0.9205926611876376	
63078	4362623	2	0.8119966145193437	
69009	250441	12	0.6472164999627709	
69009	257957	6	0.7348616538798343	
69009	373253	4	0.7683514960965603	
69009	2088553	1	0.8715772256845549	
74273	76720	3	0.875464500176616	
74273	94019	4	0.9493840985442328	
74273	4435599	3	0.8764631594820275	
76720	471802	6	0.7568710499321664	
76720	3519131	1	0.9687634416576436	
88747	431736	4	0.815609045490762	
88747	493503	19	0.7626403149568877	
88747	522462	13	0.6665246965267536	
88747	605570	6	0.8857625890592924	
88747	715957	15	0.7403556862422883	
89814	247991	4	0.8893392308759843	
89814	257958	5	0.7949231110413951	
89814	262995	5	0.8307807741536832	
89814	287559	5	0.8873365202232908	
89814	316075	10	0.8788013469347893	
89814	464765	2	0.8936450984727978	
89814	535750	4	0.7889973482308623	
89814	1297439	5	0.749569646147641	
89814	1599156	3	0.871841155234657	
89814	3088584	1	0.9684130915130574	
89814	9715729	1	0.9872443632661616	
94019	99571	3	0.98419452887538	
94019	365625	2	0.9472035794183444	
94019	672029	1	0.8954703832752613	
94019	740448	1	0.9393939393939394	
94019	2499232	3	0.9290780141843972	
95459	285231	24	0.8794344818797744	
95459	312967	3	0.8913291283532183	
95459	640070	1	0.8889964137302897	
95459	692574	4	0.772578555880507	
95459	727951	26	0.9615771117810488	
95459	743091	5	0.7859103385178409	
95459	752898	2	0.906633341951794	
95459	1285803	5	0.8228960667985058	
95459	1396117	2	0.8889964137302897	
95459	1398367	1	0.9030796581980846	
95459	2046112	21	0.9444997865376406	
95459	2232743	17	0.9637963684972708	
95459	2872300	1	0.8751200768491835	
95459	3170159	1	0.8889964137302897	
95459	3736531	10	0.957815864774772	
95459	3738699	5	0.936281946551523	
95459	3792345	2	0.9030796581980846	
95459	3852054	2	0.8648458793447413	
95459	3857298	2	0.8379905286770611	
95459	4276216	1	0.9246027143022852	
95459	4310416	17	0.9336073131356064	
96207	203906	1	0.8924976474949385	
96207	396477	1	0.8823796355385379	
96207	431736	1	0.9513973625792036	
96207	605570	1	0.9564019042846404	
99571	365625	2	0.9771505176137631	
99571	740448	1	0.9737108190091	
99571	2499232	3	0.969143128412058	
109366	287559	2	0.8838489923360772	
109366	537044	1	0.8756500113045443	
109366	760457	5	0.9554047046622354	
109366	1598223	1	0.9686758424299952	
109366	4001024	1	0.9790076335877864	
117914	148640	1	0.9964503805312396	
117914	157189	1	0.9719515093891132	
117914	200321	6	0.9812131826142334	
117914	247991	11	0.976676747957794	
117914	257293	2	0.9650618819210044	
117914	273097	5	0.8647306075659151	
117914	740448	3	0.9604954804151322	
117914	865894	2	0.9214267102863264	
117914	914234	1	0.9480466112888548	
117914	1392712	2	0.8987240373061738	
117914	1533658	1	0.9616350900008868	
117914	1707752	4	0.8781181464449948	
121163	396477	4	0.8090085178875639	
121163	444513	1	0.92605490742353	
121163	1270023	4	0.7910673323438132	
132551	157189	1	0.9913586173787806	
132551	272410	4	0.9857281771261874	
132551	489732	5	0.9504855053722993	
132551	751352	1	0.9088817303267372	
132551	1544699	4	0.9233199061060074	
132551	1592447	1	0.9924347042930052	
132551	2425531	1	0.9010082493125572	
132551	2627197	2	0.8956328011196482	
132551	2644206	2	0.915327118986465	
132551	2719102	2	0.9074004885759448	
132551	12736460	1	0.8990500171683644	
157189	220035	1	0.9001374255611544	
157189	247991	1	0.9825546660293942	
157189	740448	1	0.9918367346938776	
157189	751352	1	0.9790076335877864	
157189	1544699	1	0.9315483119906868	
157594	435659	3	0.8525782980069598	
157594	527548	1	0.9365079365079364	
157594	4869766	1	0.90625	
169958	230853	16	0.8924925882922196	
169958	532042	3	0.8100528186619879	
169958	707598	8	0.8661535081938403	
169958	709639	13	0.7977662943823971	
169958	758950	3	0.8439482482380507	
169958	762783	8	0.7647719680778576	
169958	924384	18	0.8022307928464371	
169958	1060594	5	0.97393975986033	
186119	532042	1	0.9561424192407452	
186119	537044	1	0.9644802273265451	
186119	707368	2	0.8771354225591129	
186119	731066	1	0.996390326073878	
186119	762784	2	0.952344531387892	
186119	762840	1	0.90625	
186119	874331	1	0.9499353625572924	
186119	930327	1	0.9679753291424504	
186119	1018058	2	0.919481721425266	
186119	1069076	1	0.9506230895838232	
186119	1295287	2	0.9881373195135102	
186119	1345015	1	0.9308739671825904	
186119	1589669	1	0.9707803777170684	
186531	203916	33	0.6502847119086209	
186531	250436	45	0.5291602152916022	
186531	539937	17	0.8141759833802585	
186531	652254	27	0.6542647767493645	
186531	1069076	5	0.7693415089309518	
200321	257293	4	0.9951899951899952	
200321	275907	2	0.8820326678765881	
200321	537044	1	0.9529190207156308	
200321	2499232	1	0.8906107566089335	
203906	387851	5	0.7965945697192821	
203906	396235	5	0.7503956113514083	
203906	1544699	6	0.824850834501911	
203906	1707752	3	0.8259386291520698	
203906	2627197	4	0.819161110387786	
203906	2644206	3	0.8076207250310948	
203906	3372262	2	0.8446315906501014	
203906	3706714	2	0.8802997464337823	
203906	5561068	4	0.8496439669467553	
203906	7203000	1	0.8924976474949385	
203906	8046764	2	0.8479701509160773	
203916	1270023	15	0.7870035129036832	
217355	870303	2	0.8381814279086837	
220035	272410	3	0.7920184328479111	
220035	287559	9	0.8728623835951462	
220035	377590	25	0.7620097445765527	
220035	472460	12	0.7685949679109947	
220035	489717	13	0.8529867831570085	
220035	489732	13	0.7885092163414897	
220035	1544699	19	0.8154531895166631	
220035	2627197	8	0.7142377456203225	
220035	2696987	9	0.6986946506270796	
220035	4424071	8	0.9226373690042512	
220035	5134104	3	0.8278831500284597	
220035	5263640	7	0.8036463024505389	
230853	275907	5	0.7540039114118082	
230853	709639	10	0.8558453760458146	
230853	727933	4	0.7867577526879911	
230853	1060594	1	0.9322512555498944	
230853	1069076	4	0.9098567636204056	
230853	1252133	4	0.8162984653909046	
234846	239257	3	0.972439891820136	
234846	262995	5	0.9112565083168226	
234846	316085	3	0.9165716100899548	
234846	326376	2	0.8452983373185786	
234846	558507	1	0.9284894448560926	
234846	914234	1	0.9527753666897152	
234846	1191739	4	0.985594507064376	
234846	1295287	1	0.8989685117097527	
234846	1599156	3	0.9334990677439404	
234846	1679804	1	0.9967807446408424	
234846	1707752	4	0.888848570229176	
234846	1923647	2	0.9871848613689442	
237981	285231	51	0.8259420767158626	
237981	315703	21	0.7513667159046714	
237981	672029	10	0.8618116531545431	
239257	258050	2	0.960447221114508	
239257	272410	1	0.959318631358309	
239257	308262	1	0.8820326678765881	
239257	361945	1	0.9729480662326466	
239257	558507	1	0.9821401905444554	
239257	667866	1	0.949591680864814	
239257	760455	1	0.9144983557376104	
239257	855152	1	0.9653528384020847	
239257	1533658	1	0.9914183694902032	
239257	1599156	2	0.9752380952380952	
239257	1923647	2	0.9968708629197256	
239257	2515504	1	0.9488474526501248	
239257	3156119	1	0.9929731839884688	
239257	3489161	1	0.9585669598064096	
239257	7203000	1	0.9775334465599952	
247991	262995	3	0.8997023128005496	
247991	272410	1	0.8898301465039794	
247991	273097	4	0.8937666747513946	
247991	287559	2	0.9026841067908976	
247991	740448	6	0.987611370386084	
247991	1191739	1	0.9611713601843918	
247991	1392712	1	0.8761802453779614	
247991	1599156	2	0.9319981369352583	
250428	692587	21	0.5858677749426092	
250428	1640133	11	0.6742050628760263	
250431	715957	24	0.7394008753614579	
250432	426630	32	0.7895912998488294	
250432	444513	1	0.8977739016055931	
250432	453030	14	0.7178253928489883	
250432	2088553	1	0.9128154136584382	
250441	535750	6	0.735973424707698	
251799	252162	21	0.9974317817014446	
251799	405691	2	0.9284053928405392	
251799	468181	1	0.9097605893186004	
251799	537021	6	0.9758261387317654	
